# step  time[fs]  PE[eV]  KE[eV]  E_total[eV]  T[K]
0  0.000000  0.011972  0.271446  0.283418  300.000339
50  50.000000  0.191952  0.323752  0.515704  357.808304
100  100.000000  0.059442  0.226405  0.285848  250.221475
150  150.000000  0.226684  0.264595  0.491279  292.428077
200  200.000000  0.122089  0.169856  0.291945  187.723940
250  250.000000  0.259339  0.261229  0.520568  288.708216
300  300.000000  0.142843  0.153285  0.296128  169.409519
350  350.000000  0.234094  0.235472  0.469566  260.241724
400  400.000000  0.172782  0.133304  0.306086  147.326331
450  450.000000  0.164377  0.197796  0.362174  218.602985
500  500.000000  0.178612  0.150825  0.329438  166.690908
